Nombre Partner,Partner_id
kfc centro calama,531058
tarragona la fábrica patio outlet,101351
under pizza - apoquindo,480094
under pizza - concepción,488934
wendy´s pionero,521115
doggis lider los andes,165750
seven pizza - santiago,265338
súper as.,109384
under pizza - irarrazábal,497139
el puro perú - providencia,48974
fuente mardoqueo bilbao,58689
poked - quilicura.,426089
carl's jr mall plaza tobalaba,422633
street wrap - ñuñoa,456329
dunkin’ - paseo ross,481157
la media pica - comida rápida,448878
lonkai sushi premiun,367058
papa john's pizza - la chimba,198518
itacate burritos - maipú el carmen,374879
under pizza - los andes,493417
kfc general velásquez,42452
papa johns pizza – san fernando,473783
refugio liguano.,485322
tarragona talca,104989
doggis jumbo iquique,238785
thai food & snacks,140085
umi sushi temuco,224743
china wok la fabrica,511868
kfc pionero,521112
under pizza - talcahuano,491955
el guatón condell,119086
poked - providencia 1,485069
tarragona mall paseo ross valparaíso,59063
sabor de pakistan,528485
papa john's - peñaflor,283634
pollos san martin,146926
seiko sushi - reñaca,290747
doggis puerto valparaiso,158530
mae comida casera,131889
restaurante macario,144011
doggis limache,377223
sushi home reñaca,318822
dunkin' mall plaza oeste,67832
little caesars pizza peñalolen,205428
under pizza - froilan roa,191553
kfc los leones,125315
under pizza - la serena,473475
burger king® - paseo ross,63525
royal ranch,65463
poked - puerto montt,181121
fuente mardoqueo vicuña mackenna,509412
pronto antofagasta,425093
sandwicheria churraskon,290354
papa john's pizza- con con,133505
el bajón chiguayantino,455164
kfc patronato,125266
lomiton la cisterna,249120
juan maestro puerto valparaiso,158547
itacate burritos - barrio italia,485731
tryme sushi curicó,130950
curiyork fast food,176886
wendy´s mall plaza iquique,531436
papa john's pizza - linares,264652
tarragona - pedro de valdivia,425859
mc byron puente alto,524397
seiko sushi - quilpué,388534
dony doner - parque arauco,65676
under pizza - san martín,432457
little caesars pizza - enea,502040
almazen de cruda,482574
starbucks paseo la montaña,525637
kevincito donde se come rico,450847
little caesars pizza vicuña mackenna,205413
kfc av valparaiso,435690
itacate - reñaca!,520165
keyna pastelería y panaderia,221866
kfc alto las condes,166897
papa john's padre hurtado,488323
wendys trébol,346960
donde carito,144949
rockabilly chicken,477827
subway froilan roa,147474
sushi togo,484291
pronto chamisero,421997
la fuente del bávaro,11539
under pizza - panoramico,457420
wing it! - san felipe -,441856
little caesars pizza la montaña,343881
dominó - los dominicos,53138
subway colón,62714
kfc paseo ross,397571
little caesars pizza alameda,205374
under pizza - valparaíso,393676
kfc iquique,140568
promo sushi la serena,330824
doggis - espacio urbano punta arenas,504483
under pizza - estación central,237082
under pizza - san felipe,477996
berlin döner kebab,221862